UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,temperature_gap,power_proxy,wear_per_torque
47,M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,10.300000000000011,47549.4,5.038759689922481
48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,10.300000000000011,65653.4,2.8725701943844495
49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,10.399999999999977,76807.5,2.504638218923933
50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,10.300000000000011,62269.200000000004,3.1746031746031744
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,10.200000000000045,13160.599999999999,31.086956521739133
52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,10.200000000000045,75926.7,2.6411657559198543
53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,10.199999999999989,65568.59999999999,3.356164383561644
54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,10.300000000000011,54931.5,4.33048433048433
55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,10.300000000000011,50899.100000000006,5.116279069767441
56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,10.300000000000011,61538.4,3.8329238329238327
57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,10.300000000000011,62624.799999999996,3.7264150943396226
58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,10.300000000000011,60973.899999999994,3.970223325062035
59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,10.199999999999989,48999.5,5.491525423728813
60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,10.300000000000011,74963.2,3.0330882352941178
61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,10.300000000000011,73271.8,3.1749049429657794
62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,10.199999999999989,60814.4,4.424083769633508
63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,10.199999999999989,41884.1,7.510917030567686
64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,10.100000000000023,46930.799999999996,6.718146718146719
65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,10.100000000000023,58787.8,4.585492227979274
66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,10.100000000000023,62869.4,3.9689578713968956
67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,10.0,48187.299999999996,6.306620209059234
68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,10.099999999999966,64650.6,4.172335600907029
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,10.099999999999966,49474.799999999996,5.833333333333334
70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,10.100000000000023,92637.0,2.907153729071537
71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,10.100000000000023,43482.4,8.539823008849558
72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,10.200000000000045,66066.0,4.3076923076923075
73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,10.200000000000045,60783.6,4.45945945945946
74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,10.100000000000023,55720.0,5.714285714285714
75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,10.100000000000023,51712.299999999996,6.253869969040248
76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,10.099999999999966,64399.3,4.36830835117773
77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,10.099999999999966,69981.9,4.30062630480167
78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,10.099999999999966,60091.49999999999,5.036319612590799
79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,10.099999999999966,71997.0,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,10.099999999999966,53135.799999999996,0.052770448548812667
81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,10.0,72105.5,0.08016032064128256
82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,10.0,68875.0,0.18947368421052632
83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,10.0,59282.399999999994,0.26960784313725494
84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,10.0,58906.9,0.32418952618453867
85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,10.0,67687.2,0.31512605042016806
86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,10.0,48347.200000000004,0.6343283582089552
87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,10.0,63040.4,0.45558086560364464
88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,10.0,49099.200000000004,0.7861635220125786
89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,10.0,64138.8,0.5973451327433628
90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,10.0,58736.5,0.759493670886076
91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,10.0,45227.4,1.2790697674418605
92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,10.0,45567.0,1.4056224899598395
93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,10.0,46801.700000000004,1.3653136531365313
94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,9.899999999999977,62350.0,0.9302325581395349
95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,9.899999999999977,51741.799999999996,1.316614420062696
96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,10.0,70522.2,0.842911877394636
97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,10.0,55597.49999999999,1.331444759206799
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,10.0,52325.0,1.6722408026755853
99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,9.900000000000034,49998.3,1.620795107033639
100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,10.0,67621.2,1.2387387387387387
101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,10.099999999999966,46300.0,2.28
102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,10.0,41213.7,2.85024154589372
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,10.0,63133.0,1.5024630541871922
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,10.0,58360.5,1.5555555555555556
105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,9.899999999999977,62930.0,1.5207373271889402
106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,9.899999999999977,49480.100000000006,2.1864951768488745
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,9.899999999999977,70082.5,1.443298969072165
108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,10.0,70059.59999999999,1.5384615384615385
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,9.900000000000034,53006.700000000004,2.293577981651376
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,9.800000000000011,53605.200000000004,2.3460410557184748
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,9.800000000000011,42120.0,3.6444444444444444
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,9.900000000000034,65206.5,1.9310344827586208
113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,9.899999999999977,59171.0,2.2531645569620253
114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,9.800000000000011,62263.4,2.1957040572792366
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,9.800000000000011,49392.0,3.231292517006803
116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,9.800000000000011,65396.700000000004,2.12253829321663
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,9.800000000000011,53332.4,2.903225806451613
118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,9.800000000000011,52767.0,3.0606060606060606
119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,9.800000000000011,47966.700000000004,3.6654804270462633
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,9.800000000000011,59706.9,2.6044226044226044
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,9.800000000000011,64055.100000000006,2.4161073825503356
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,9.800000000000011,64189.600000000006,2.669902912621359
123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,9.800000000000011,66417.0,2.2090729783037473
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,9.800000000000011,67096.4,2.6267281105990783
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,9.800000000000011,50773.799999999996,3.9455782312925174
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,9.700000000000045,50232.00000000001,3.664596273291925
127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,9.600000000000023,80404.5,1.9834710743801653
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,9.700000000000045,65704.5,2.6236559139784945
129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,9.600000000000023,61258.200000000004,3.2124352331606216
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,9.600000000000023,53473.7,3.6734693877551026
131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,9.599999999999966,60540.3,3.114355231143552
132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,9.599999999999966,48114.9,4.693140794223827
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,9.699999999999989,62251.200000000004,3.0555555555555554
134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,9.699999999999989,70928.0,2.721774193548387
135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,9.599999999999966,72557.0,2.6037735849056602
136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,9.699999999999989,48763.5,4.912280701754386
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,9.800000000000011,64894.00000000001,3.1291028446389495
138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,9.900000000000034,71724.09999999999,2.6763110307414104
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,9.800000000000011,71580.59999999999,3.0364372469635628
140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,9.800000000000011,70754.4,2.777777777777778
141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,9.800000000000011,54547.1,4.349030470914127
142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,9.800000000000011,54348.8,4.517045454545454
143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,9.799999999999955,50139.6,5.709219858156029
144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,9.799999999999955,71053.5,3.2475247524752477
145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,9.799999999999955,58978.4,3.9858490566037736
146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure,9.899999999999977,50836.8,5.119047619047619
147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure,9.899999999999977,58193.200000000004,4.81994459833795
148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure,10.0,60751.5,4.4638403990024935
149,M15008,M,298.3,308.3,1379,48.0,181,0,No Failure,10.0,66192.0,3.7708333333333335
150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure,9.900000000000034,58772.7,4.611528822055138
151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure,9.900000000000034,60719.4,4.355971896955503
152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure,9.800000000000011,55008.8,5.0
153,M15012,M,298.4,308.2,1584,41.0,191,0,No Failure,9.800000000000011,64944.0,4.658536585365853
154,L47333,L,298.4,308.2,1850,27.0,194,0,No Failure,9.800000000000011,49950.0,7.185185185185185
155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,9.800000000000011,55313.600000000006,5.414364640883978
156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure,9.800000000000011,39342.6,10.0
157,M15016,M,298.4,308.1,1495,46.0,203,0,No Failure,9.700000000000045,68770.0,4.413043478260869
158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure,9.800000000000011,64293.0,4.735632183908046
159,M15018,M,298.4,308.2,1499,40.0,211,0,No Failure,9.800000000000011,59960.0,5.275
160,L47339,L,298.4,308.2,1471,47.0,214,0,No Failure,9.800000000000011,69137.0,4.553191489361702
161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,9.800000000000011,77817.40000000001,3.558484349258649
162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,9.800000000000011,73847.59999999999,4.168260038240918
163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,9.800000000000011,56303.0,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,9.800000000000011,64298.399999999994,0.04566210045662101
165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,9.800000000000011,62784.0,0.1146788990825688
166,L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,9.899999999999977,45058.0,0.3076923076923077
167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,9.800000000000011,52551.200000000004,0.3067484662576687
168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,9.900000000000034,62548.2,0.34965034965034963
169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,9.900000000000034,89275.9,0.32102728731942215
170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,9.900000000000034,77893.8,0.3722504230118443
171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,9.800000000000011,56350.0,0.6857142857142857
172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,9.900000000000034,74269.59999999999,0.531496062992126
173,M15032,M,298.1,308.0,1924,20.8,29,0,No Failure,9.899999999999977,40019.200000000004,1.3942307692307692
174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,9.800000000000011,53616.700000000004,0.9495548961424332
175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,9.900000000000034,76139.8,0.6003430531732419
176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,9.900000000000034,60117.0,0.8505747126436781
177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,9.900000000000034,56144.600000000006,1.1239193083573487
178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,10.0,42543.2,1.9158878504672898
179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,10.0,72087.2,0.8565737051792828
180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,10.100000000000023,64939.2,0.9036144578313253
181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,10.100000000000023,73602.5,0.9418837675350702
182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,10.100000000000023,44140.799999999996,2.024793388429752
183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,10.099999999999966,64550.200000000004,1.1226611226611227
184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,10.099999999999966,60439.50000000001,1.4004914004914004
185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,10.0,51010.200000000004,1.9281045751633985
186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,10.0,55237.200000000004,1.5968586387434553
187,L47366,L,298.1,308.3,1301,56.0,63,0,No Failure,10.199999999999989,72856.0,1.125
188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,10.199999999999989,59434.9,1.5081206496519721
189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,10.199999999999989,53961.600000000006,1.994047619047619
190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,10.099999999999966,66792.59999999999,1.5898617511520738
191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,10.199999999999989,73702.3,1.4428857715430863
192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,10.199999999999989,57643.600000000006,2.138728323699422
193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,10.199999999999989,72416.4,1.4671814671814674
194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,10.199999999999989,58058.8,2.3410404624277454
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,10.300000000000011,28654.6,8.037383177570094
196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,10.199999999999989,62333.7,2.0745920745920747
197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure,10.300000000000011,70884.0,1.8383838383838385
198,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure,10.200000000000045,62454.299999999996,2.34718826405868
199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,10.300000000000011,55580.0,2.8285714285714287
200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure,10.200000000000045,67494.3,2.1443736730360934
201,L47380,L,298.4,308.6,1609,35.0,103,0,No Failure,10.200000000000045,56315.0,2.942857142857143
202,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure,10.199999999999989,64890.00000000001,2.5485436893203883
203,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure,10.100000000000023,58405.200000000004,2.9971988795518203
204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,10.100000000000023,56471.0,2.9023746701846966
205,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure,10.100000000000023,57104.799999999996,3.414634146341464
206,M15065,M,298.5,308.6,1344,53.0,114,0,No Failure,10.100000000000023,71232.0,2.150943396226415
207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,10.199999999999989,56797.7,3.314447592067989
208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,10.300000000000011,86254.7,1.9604612850082372
209,L47388,L,298.4,308.6,1591,36.7,122,0,No Failure,10.200000000000045,58389.700000000004,3.32425068119891
210,L47389,L,298.4,308.6,1477,44.0,124,0,No Failure,10.200000000000045,64988.0,2.8181818181818183
211,L47390,L,298.4,308.7,1523,36.1,126,0,No Failure,10.300000000000011,54980.3,3.490304709141274
212,L47391,L,298.5,308.7,1575,33.9,128,0,No Failure,10.199999999999989,53392.5,3.775811209439528
213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure,10.300000000000011,71097.59999999999,2.4574669187145557
214,L47393,L,298.4,308.7,1386,44.9,135,0,No Failure,10.300000000000011,62231.4,3.0066815144766146
215,M15074,M,298.3,308.6,1589,37.1,137,0,No Failure,10.300000000000011,58951.9,3.6927223719676547
216,L47395,L,298.3,308.6,1548,40.3,140,0,No Failure,10.300000000000011,62384.399999999994,3.4739454094292808
217,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure,10.300000000000011,57411.7,3.70757180156658
218,L47397,L,298.3,308.5,1664,31.6,144,0,No Failure,10.199999999999989,52582.4,4.556962025316455
219,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure,10.300000000000011,55130.700000000004,3.832020997375328
220,M15079,M,298.3,308.5,1434,46.2,148,0,No Failure,10.199999999999989,66250.8,3.2034632034632033
221,L47400,L,298.3,308.5,1416,52.7,151,0,No Failure,10.199999999999989,74623.2,2.8652751423149905
222,H29635,H,298.4,308.5,1827,24.3,153,0,No Failure,10.100000000000023,44396.1,6.296296296296296
223,L47402,L,298.4,308.6,1304,45.0,158,0,No Failure,10.200000000000045,58680.0,3.511111111111111
224,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure,10.200000000000045,53973.6,4.651162790697675
225,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure,10.300000000000011,46411.200000000004,5.5290102389078495
226,L47405,L,298.3,308.5,1362,53.8,164,0,No Failure,10.199999999999989,73275.59999999999,3.0483271375464684
227,L47406,L,298.3,308.4,1329,49.2,166,0,No Failure,10.099999999999966,65386.8,3.373983739837398
228,L47407,L,298.3,308.5,1539,36.1,168,0,No Failure,10.199999999999989,55557.9,4.653739612188366
229,M15088,M,298.3,308.5,1629,37.1,170,0,No Failure,10.199999999999989,60435.9,4.582210242587601
230,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure,10.199999999999989,49523.600000000006,5.3726708074534155
231,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure,10.300000000000011,54635.99999999999,5.028735632183908
232,L47411,L,298.3,308.4,1408,43.1,177,0,No Failure,10.099999999999966,60684.8,4.106728538283063
233,L47412,L,298.2,308.4,1424,47.6,179,0,No Failure,10.199999999999989,67782.40000000001,3.7605042016806722
234,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure,10.199999999999989,52768.799999999996,5.186246418338109
235,L47414,L,298.2,308.4,1478,42.9,183,0,No Failure,10.199999999999989,63406.2,4.265734265734266
236,M15095,M,298.1,308.3,1680,33.7,185,0,No Failure,10.199999999999989,56616.00000000001,5.489614243323442
237,L47416,L,298.1,308.3,1495,38.7,188,0,No Failure,10.199999999999989,57856.50000000001,4.857881136950904
238,M15097,M,298.0,308.1,1552,36.6,190,0,No Failure,10.100000000000023,56803.200000000004,5.191256830601093
239,L47418,L,297.9,308.1,1393,50.3,193,0,No Failure,10.200000000000045,70067.9,3.836978131212724
240,L47419,L,298.0,308.2,1611,30.6,195,0,No Failure,10.199999999999989,49296.600000000006,6.372549019607843
241,M15100,M,298.0,308.1,1339,51.6,197,0,No Failure,10.100000000000023,69092.40000000001,3.8178294573643408
242,L47421,L,298.0,308.1,1777,24.3,200,0,No Failure,10.100000000000023,43181.1,8.23045267489712
243,L47422,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,10.199999999999989,79262.4,3.435374149659864
244,L47423,L,298.0,308.2,1442,44.1,204,0,No Failure,10.199999999999989,63592.200000000004,4.625850340136054
245,M15104,M,298.0,308.2,1395,49.1,206,0,No Failure,10.199999999999989,68494.5,4.195519348268839
246,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure,10.200000000000045,51087.799999999996,6.656050955414013
247,L47426,L,297.9,308.1,1585,33.5,212,0,No Failure,10.200000000000045,53097.5,6.3283582089552235
248,L47427,L,298.0,308.2,1469,45.5,214,0,No Failure,10.199999999999989,66839.5,4.7032967032967035
249,L47428,L,298.0,308.3,1362,56.8,216,1,Overstrain Failure,10.300000000000011,77361.59999999999,3.802816901408451
250,L47429,L,298.0,308.3,1405,56.2,218,1,Overstrain Failure,10.300000000000011,78961.0,3.879003558718861
251,L47430,L,298.0,308.3,1662,32.7,0,0,No Failure,10.300000000000011,54347.4,0.0
252,M15111,M,298.0,308.2,1466,42.6,2,0,No Failure,10.199999999999989,62451.6,0.046948356807511735
253,L47432,L,298.0,308.2,1620,35.8,5,0,No Failure,10.199999999999989,57995.99999999999,0.13966480446927376
254,L47433,L,298.0,308.2,1357,48.2,7,0,No Failure,10.199999999999989,65407.4,0.14522821576763484
255,L47434,L,298.0,308.2,1514,37.9,9,0,No Failure,10.199999999999989,57380.6,0.237467018469657
256,L47435,L,298.0,308.2,1489,40.4,11,0,No Failure,10.199999999999989,60155.6,0.2722772277227723
